iter	Passed	Remaining
0	4	4387
1	8	4467
2	12	4133
3	16	4123
4	20	4000
5	24	3983
6	28	3984
7	34	4217
8	38	4212
9	42	4184
10	46	4222
11	51	4210
12	55	4221
13	59	4212
14	64	4240
15	68	4202
16	72	4189
17	75	4137
18	80	4160
19	83	4114
20	89	4157
21	93	4161
22	98	4175
23	102	4152
24	106	4142
25	111	4166
26	114	4142
27	119	4148
28	123	4128
29	128	4160
30	132	4154
31	137	4144
32	141	4138
33	146	4150
34	150	4161
35	155	4155
36	159	4151
37	163	4131
38	167	4121
39	171	4113
40	175	4103
41	178	4081
42	183	4078
43	187	4068
44	191	4064
45	195	4050
46	199	4044
47	203	4037
48	207	4033
49	211	4011
50	215	4009
51	219	3998
52	223	3994
53	227	3980
54	231	3974
55	234	3959
56	238	3946
57	242	3935
58	245	3919
59	250	3919
60	254	3923
61	258	3913
62	262	3910
63	266	3900
64	269	3882
65	274	3882
66	277	3868
67	282	3867
68	286	3859
69	290	3861
70	294	3847
71	298	3844
72	301	3829
73	305	3824
74	309	3812
75	313	3807
76	317	3801
77	322	3809
78	327	3815
79	330	3803
80	334	3792
81	338	3794
82	342	3780
83	346	3778
84	350	3770
85	355	3774
86	358	3764
87	362	3760
88	367	3766
89	371	3758
90	375	3749
91	379	3745
92	383	3740
93	387	3735
94	390	3723
95	395	3722
96	399	3723
97	404	3719
98	408	3721
99	413	3721
100	418	3723
101	421	3714
102	425	3709
103	429	3699
104	433	3698
105	437	3687
106	441	3686
107	445	3679
108	450	3680
109	453	3670
110	458	3670
111	462	3663
112	466	3659
113	470	3653
114	474	3651
115	478	3648
116	483	3650
117	487	3642
118	492	3644
119	496	3641
120	500	3633
121	504	3628
122	508	3624
123	513	3624
124	516	3614
125	519	3606
126	523	3601
127	527	3592
128	531	3589
129	535	3585
130	539	3580
131	543	3573
132	547	3569
133	551	3561
134	554	3555
135	558	3546
136	562	3544
137	566	3538
138	571	3537
139	575	3536
140	580	3535
141	584	3529
142	587	3523
143	591	3513
144	594	3508
145	598	3499
146	602	3494
147	606	3488
148	610	3488
149	614	3482
150	618	3477
151	621	3469
152	626	3467
153	629	3459
154	633	3454
155	637	3449
156	641	3447
157	645	3440
158	649	3435
159	653	3428
160	657	3428
161	661	3419
162	664	3413
163	668	3409
164	673	3407
165	678	3406
166	682	3406
167	686	3400
168	691	3398
169	694	3390
170	698	3385
171	702	3381
172	707	3380
173	710	3373
174	714	3369
175	718	3363
176	722	3360
177	726	3352
178	730	3349
179	734	3344
180	738	3340
181	741	3334
182	745	3327
183	749	3326
184	753	3321
185	757	3315
186	761	3310
187	765	3305
188	769	3301
189	773	3296
190	776	3290
191	781	3288
192	785	3286
193	789	3279
194	793	3276
195	797	3270
196	801	3265
197	804	3260
198	808	3254
199	826	3307
200	831	3303
201	836	3303
202	840	3298
203	844	3293
204	847	3286
205	851	3283
206	855	3276
207	859	3273
208	863	3268
209	867	3265
210	871	3260
211	876	3258
212	880	3252
213	884	3249
214	887	3242
215	892	3239
216	896	3233
217	900	3230
218	904	3224
219	908	3219
220	911	3212
221	916	3212
222	919	3205
223	924	3201
224	927	3196
225	945	3237
226	949	3234
227	953	3227
228	957	3224
229	961	3219
230	965	3214
231	969	3208
232	973	3204
233	977	3198
234	981	3194
235	985	3189
236	989	3186
237	993	3181
238	999	3181
239	1003	3176
240	1006	3171
241	1010	3164
242	1014	3159
243	1017	3153
244	1022	3150
245	1026	3144
246	1030	3140
247	1033	3134
248	1038	3131
249	1041	3125
250	1049	3130
251	1054	3130
252	1059	3128
253	1064	3125
254	1068	3122
255	1072	3117
256	1076	3112
257	1080	3107
258	1084	3103
259	1088	3098
260	1093	3095
261	1099	3097
262	1103	3092
263	1107	3088
264	1112	3084
265	1115	3079
266	1119	3074
267	1123	3069
268	1127	3064
269	1132	3060
270	1136	3056
271	1140	3053
272	1144	3047
273	1149	3044
274	1152	3038
275	1157	3035
276	1160	3030
277	1164	3025
278	1168	3020
279	1173	3016
280	1176	3011
281	1181	3007
282	1184	3002
283	1189	2998
284	1193	2993
285	1197	2989
286	1200	2983
287	1204	2978
288	1208	2972
289	1211	2966
290	1215	2962
291	1219	2956
292	1223	2953
293	1227	2946
294	1231	2942
295	1234	2936
296	1238	2932
297	1242	2926
298	1247	2923
299	1250	2918
300	1254	2914
301	1258	2908
302	1262	2905
303	1266	2899
304	1270	2895
305	1274	2889
306	1278	2886
307	1283	2883
308	1288	2880
309	1291	2875
310	1295	2870
311	1298	2863
312	1303	2860
313	1307	2856
314	1311	2851
315	1315	2846
316	1319	2842
317	1323	2839
318	1328	2835
319	1331	2829
320	1335	2825
321	1339	2819
322	1343	2815
323	1347	2811
324	1351	2807
325	1354	2801
326	1359	2796
327	1362	2791
328	1366	2787
329	1370	2781
330	1374	2777
331	1378	2772
332	1383	2770
333	1387	2766
334	1391	2761
335	1394	2755
336	1398	2751
337	1402	2746
338	1406	2741
339	1409	2736
340	1414	2733
341	1418	2728
342	1422	2723
343	1425	2718
344	1430	2715
345	1433	2710
346	1437	2705
347	1442	2701
348	1446	2697
349	1449	2692
350	1453	2687
351	1457	2682
352	1460	2677
353	1471	2684
354	1474	2679
355	1479	2676
356	1484	2673
357	1489	2671
358	1494	2668
359	1498	2663
360	1502	2659
361	1506	2654
362	1510	2650
363	1514	2645
364	1517	2640
365	1521	2635
366	1525	2630
367	1528	2625
368	1532	2620
369	1536	2616
370	1540	2611
371	1544	2607
372	1548	2602
373	1552	2598
374	1556	2593
375	1560	2589
376	1564	2585
377	1568	2581
378	1572	2576
379	1577	2573
380	1580	2568
381	1585	2564
382	1588	2559
383	1593	2556
384	1596	2550
385	1601	2546
386	1604	2541
387	1609	2537
388	1612	2532
389	1616	2528
390	1620	2523
391	1624	2519
392	1627	2514
393	1631	2509
394	1636	2507
395	1641	2503
396	1644	2498
397	1648	2494
398	1652	2489
399	1656	2484
400	1659	2478
401	1663	2474
402	1667	2469
403	1671	2465
404	1675	2461
405	1679	2456
406	1682	2451
407	1686	2446
408	1690	2442
409	1693	2437
410	1698	2433
411	1701	2428
412	1706	2425
413	1709	2420
414	1714	2416
415	1717	2411
416	1721	2407
417	1725	2401
418	1741	2414
419	1745	2410
420	1749	2405
421	1753	2401
422	1756	2395
423	1760	2391
424	1764	2386
425	1768	2383
426	1772	2378
427	1776	2374
428	1780	2369
429	1784	2364
430	1788	2360
431	1791	2355
432	1795	2351
433	1800	2347
434	1804	2343
435	1807	2338
436	1811	2333
437	1814	2328
438	1819	2325
439	1823	2321
440	1827	2316
441	1832	2313
442	1850	2326
443	1853	2321
444	1857	2316
445	1861	2312
446	1866	2309
447	1870	2304
448	1874	2300
449	1877	2295
450	1881	2290
451	1885	2285
452	1889	2281
453	1894	2278
454	1898	2274
455	1903	2270
456	1907	2266
457	1911	2261
458	1915	2257
459	1918	2252
460	1923	2248
461	1926	2243
462	1930	2239
463	1934	2234
464	1938	2230
465	1942	2225
466	1946	2221
467	1949	2216
468	1953	2212
469	1957	2207
470	1961	2203
471	1965	2198
472	1969	2194
473	1973	2189
474	1976	2184
475	1980	2180
476	1983	2175
477	1987	2170
478	1991	2166
479	1996	2162
480	1999	2157
481	2003	2153
482	2007	2148
483	2011	2144
484	2015	2140
485	2020	2136
486	2024	2132
487	2029	2129
488	2033	2124
489	2037	2120
490	2040	2115
491	2044	2110
492	2047	2105
493	2051	2101
494	2055	2096
495	2060	2093
496	2063	2088
497	2067	2084
498	2070	2079
499	2075	2075
500	2078	2070
501	2082	2066
502	2086	2061
503	2091	2058
504	2095	2053
505	2099	2049
506	2103	2045
507	2108	2041
508	2111	2037
509	2116	2033
510	2120	2029
511	2125	2025
512	2129	2021
513	2133	2017
514	2137	2013
515	2141	2008
516	2145	2004
517	2149	2000
518	2153	1995
519	2157	1991
520	2160	1986
521	2164	1982
522	2168	1977
523	2172	1973
524	2175	1968
525	2180	1964
526	2183	1960
527	2188	1955
528	2191	1951
529	2195	1947
530	2199	1942
531	2203	1938
532	2207	1934
533	2212	1930
534	2216	1926
535	2220	1922
536	2224	1917
537	2228	1913
538	2232	1909
539	2236	1904
540	2239	1900
541	2244	1896
542	2247	1891
543	2251	1887
544	2255	1883
545	2259	1878
546	2262	1873
547	2266	1869
548	2270	1865
549	2273	1860
550	2277	1856
551	2281	1851
552	2286	1847
553	2289	1843
554	2293	1839
555	2296	1834
556	2301	1830
557	2304	1825
558	2309	1821
559	2313	1817
560	2319	1814
561	2322	1810
562	2326	1805
563	2329	1801
564	2333	1796
565	2337	1792
566	2341	1787
567	2345	1783
568	2350	1780
569	2354	1775
570	2357	1771
571	2361	1766
572	2365	1762
573	2368	1758
574	2372	1753
575	2377	1749
576	2380	1745
577	2384	1740
578	2388	1736
579	2392	1732
580	2396	1728
581	2399	1723
582	2403	1719
583	2408	1715
584	2412	1711
585	2416	1707
586	2421	1703
587	2424	1698
588	2428	1694
589	2432	1690
590	2435	1685
591	2440	1681
592	2444	1677
593	2448	1673
594	2451	1668
595	2455	1664
596	2458	1659
597	2462	1655
598	2465	1650
599	2470	1647
600	2474	1642
601	2478	1638
602	2481	1634
603	2486	1630
604	2489	1625
605	2493	1621
606	2497	1616
607	2502	1613
608	2505	1608
609	2513	1607
610	2517	1603
611	2522	1599
612	2526	1594
613	2529	1590
614	2533	1586
615	2537	1581
616	2541	1577
617	2545	1573
618	2549	1569
619	2552	1564
620	2556	1560
621	2560	1555
622	2563	1551
623	2567	1546
624	2570	1542
625	2574	1538
626	2578	1533
627	2582	1529
628	2585	1525
629	2590	1521
630	2593	1516
631	2597	1512
632	2601	1508
633	2606	1504
634	2609	1500
635	2614	1496
636	2617	1491
637	2621	1487
638	2625	1483
639	2630	1479
640	2635	1475
641	2639	1471
642	2643	1467
643	2647	1463
644	2650	1458
645	2654	1454
646	2658	1450
647	2662	1446
648	2666	1442
649	2670	1437
650	2674	1433
651	2678	1429
652	2681	1425
653	2685	1421
654	2689	1416
655	2693	1412
656	2697	1408
657	2701	1403
658	2705	1399
659	2708	1395
660	2712	1391
661	2715	1386
662	2719	1382
663	2722	1377
664	2727	1373
665	2731	1369
666	2736	1366
667	2739	1361
668	2743	1357
669	2747	1353
670	2751	1349
671	2755	1344
672	2759	1340
673	2763	1336
674	2767	1332
675	2770	1328
676	2774	1323
677	2778	1319
678	2782	1315
679	2786	1311
680	2790	1306
681	2793	1302
682	2798	1298
683	2802	1294
684	2805	1290
685	2809	1286
686	2812	1281
687	2817	1277
688	2821	1273
689	2825	1269
690	2829	1265
691	2833	1261
692	2837	1257
693	2841	1252
694	2844	1248
695	2848	1244
696	2851	1239
697	2856	1235
698	2860	1231
699	2865	1228
700	2868	1223
701	2873	1219
702	2876	1215
703	2881	1211
704	2884	1206
705	2889	1203
706	2893	1198
707	2897	1194
708	2900	1190
709	2904	1186
710	2908	1182
711	2912	1177
712	2915	1173
713	2919	1169
714	2923	1165
715	2927	1161
716	2931	1156
717	2935	1152
718	2939	1148
719	2943	1144
720	2947	1140
721	2952	1136
722	2957	1132
723	2961	1128
724	2965	1124
725	2968	1120
726	2972	1116
727	2976	1112
728	2979	1107
729	2984	1103
730	2988	1099
731	2993	1096
732	2997	1091
733	3001	1087
734	3004	1083
735	3008	1079
736	3012	1074
737	3016	1070
738	3019	1066
739	3024	1062
740	3027	1058
741	3031	1054
742	3035	1049
743	3039	1045
744	3043	1041
745	3047	1037
746	3051	1033
747	3055	1029
748	3059	1025
749	3063	1021
750	3066	1016
751	3070	1012
752	3074	1008
753	3077	1004
754	3082	1000
755	3086	996
756	3090	992
757	3093	987
758	3097	983
759	3101	979
760	3105	975
761	3108	970
762	3112	966
763	3117	962
764	3122	959
765	3125	954
766	3130	950
767	3134	946
768	3139	942
769	3142	938
770	3146	934
771	3151	930
772	3155	926
773	3160	922
774	3163	918
775	3167	914
776	3170	910
777	3174	905
778	3178	901
779	3182	897
780	3186	893
781	3190	889
782	3194	885
783	3197	880
784	3201	876
785	3204	872
786	3209	868
787	3213	864
788	3217	860
789	3221	856
790	3224	852
791	3228	847
792	3232	843
793	3235	839
794	3239	835
795	3243	831
796	3247	827
797	3252	823
798	3255	819
799	3259	814
800	3262	810
801	3267	806
802	3270	802
803	3274	798
804	3278	794
805	3282	790
806	3286	785
807	3290	781
808	3294	777
809	3298	773
810	3301	769
811	3305	765
812	3309	761
813	3315	757
814	3318	753
815	3323	749
816	3326	745
817	3330	740
818	3333	736
819	3338	732
820	3342	728
821	3346	724
822	3350	720
823	3355	716
824	3358	712
825	3362	708
826	3366	704
827	3370	700
828	3375	696
829	3379	692
830	3382	687
831	3387	683
832	3390	679
833	3394	675
834	3397	671
835	3401	667
836	3405	663
837	3410	659
838	3413	655
839	3417	651
840	3421	646
841	3424	642
842	3428	638
843	3432	634
844	3436	630
845	3439	626
846	3443	622
847	3447	617
848	3451	613
849	3454	609
850	3459	605
851	3462	601
852	3467	597
853	3470	593
854	3474	589
855	3478	585
856	3482	581
857	3485	576
858	3489	572
859	3493	568
860	3496	564
861	3500	560
862	3503	556
863	3508	552
864	3512	548
865	3516	544
866	3519	539
867	3524	535
868	3527	531
869	3531	527
870	3535	523
871	3539	519
872	3543	515
873	3547	511
874	3550	507
875	3555	503
876	3559	499
877	3563	495
878	3567	491
879	3571	487
880	3575	482
881	3579	478
882	3582	474
883	3586	470
884	3590	466
885	3593	462
886	3597	458
887	3601	454
888	3605	450
889	3609	446
890	3613	442
891	3617	437
892	3621	433
893	3624	429
894	3629	425
895	3633	421
896	3637	417
897	3641	413
898	3645	409
899	3648	405
900	3652	401
901	3656	397
902	3660	393
903	3664	389
904	3669	385
905	3672	381
906	3676	377
907	3680	372
908	3684	368
909	3688	364
910	3692	360
911	3696	356
912	3700	352
913	3703	348
914	3707	344
915	3711	340
916	3715	336
917	3718	332
918	3722	328
919	3726	324
920	3729	319
921	3733	315
922	3737	311
923	3740	307
924	3744	303
925	3748	299
926	3752	295
927	3756	291
928	3760	287
929	3765	283
930	3769	279
931	3773	275
932	3777	271
933	3781	267
934	3784	263
935	3788	259
936	3792	254
937	3796	250
938	3800	246
939	3804	242
940	3808	238
941	3826	235
942	3830	231
943	3834	227
944	3838	223
945	3842	219
946	3846	215
947	3849	211
948	3853	207
949	3857	203
950	3862	199
951	3866	194
952	3870	190
953	3873	186
954	3877	182
955	3880	178
956	3884	174
957	3888	170
958	3892	166
959	3896	162
960	3900	158
961	3903	154
962	3907	150
963	3911	146
964	3915	142
965	3919	137
966	3923	133
967	3928	129
968	3932	125
969	3936	121
970	3940	117
971	3944	113
972	3948	109
973	3953	105
974	3958	101
975	3962	97
976	3966	93
977	3970	89
978	3974	85
979	3977	81
980	3981	77
981	3985	73
982	3990	69
983	3993	64
984	3997	60
985	4000	56
986	4005	52
987	4008	48
988	4013	44
989	4016	40
990	4020	36
991	4024	32
992	4028	28
993	4032	24
994	4037	20
995	4040	16
996	4044	12
997	4050	8
998	4055	4
999	4059	0
